Date_UTC,MLT,MLAT,GLON,GLAT
2000-01-11 20:34:00,23.06,64.19,35.02,67.97
2000-01-11 21:22:00,5.36,66.06,128.92,71.59
2000-01-12 01:20:00,1.35,60.53,352.98,62.05
2000-01-12 01:45:00,1.11,64.85,338.30,64.18
2000-01-12 05:56:00,23.34,69.08,265.91,58.76
2000-01-12 06:16:00,23.71,69.08,265.91,58.76
2000-01-12 18:32:00,1.19,72.01,104.28,77.72
2000-01-13 01:18:00,0.23,76.28,321.65,72.60
2000-01-13 05:48:00,2.04,72.90,291.48,63.75
2000-01-13 08:22:00,20.46,70.28,203.38,71.32
2000-01-13 08:44:00,20.81,70.28,203.38,71.32
2000-01-13 12:21:00,0.53,70.28,203.38,71.32
2000-01-13 15:19:00,0.87,65.13,147.89,70.62
2000-01-13 23:50:00,22.24,69.15,322.37,65.60
2000-01-14 11:17:00,23.36,70.28,203.38,71.32
2000-01-14 15:29:00,22.54,72.01,104.28,77.72
2000-01-14 20:20:00,22.41,71.50,19.20,74.50
2000-01-15 12:02:00,0.16,70.28,203.38,71.32
2000-01-15 17:49:00,23.22,68.69,80.70,73.53
2000-01-16 18:51:00,0.17,68.69,80.70,73.53
2000-01-16 22:57:00,0.85,66.11,23.70,69.46
2000-01-19 22:43:00,3.93,68.69,80.70,73.53
2000-01-19 23:04:00,0.96,66.11,23.70,69.46
2000-01-20 07:33:00,22.36,67.51,238.77,61.76
2000-01-20 11:08:00,23.99,65.29,212.14,64.87
2000-01-20 11:39:00,0.95,66.46,218.84,64.78
2000-01-20 17:12:00,22.66,68.69,80.70,73.53
2000-01-20 19:26:00,21.39,67.30,22.22,70.54
2000-01-22 05:09:00,22.39,69.07,265.91,58.76
2000-01-22 11:02:00,0.14,63.30,214.87,62.39
2000-01-22 14:07:00,3.10,65.29,212.14,64.87
2000-01-22 14:27:00,3.82,66.46,218.84,64.78
2000-01-22 17:10:00,22.63,68.69,80.70,73.53
2000-01-22 17:40:00,2.83,65.13,147.89,70.62
2000-01-22 18:31:00,3.61,65.13,147.89,70.62
2000-01-22 19:20:00,21.29,60.82,27.23,64.52
2000-01-22 21:05:00,6.08,65.13,147.89,70.62
2000-01-22 22:06:00,6.06,66.06,128.92,71.59
2000-01-22 22:57:00,0.82,60.82,27.23,64.52
2000-01-22 23:23:00,23.34,60.53,352.98,62.05
2000-01-23 00:18:00,0.25,60.53,352.98,62.05
2000-01-23 01:46:00,3.70,66.11,23.70,69.46
2000-01-23 02:28:00,4.21,64.57,20.42,67.84
2000-01-23 09:34:00,22.75,66.46,218.84,64.78
2000-01-23 13:16:00,1.93,66.68,208.45,66.90
2000-01-24 06:06:00,6.85,70.22,351.30,70.90
2000-01-24 08:50:00,21.57,71.22,216.35,70.14
2000-01-24 09:33:00,7.28,70.42,308.27,64.17
2000-01-24 10:01:00,23.19,66.46,218.84,64.78
2000-01-24 12:48:00,1.75,65.29,212.14,64.87
2000-01-24 13:16:00,2.63,66.46,218.84,64.78
2000-01-24 22:14:00,3.45,68.69,80.70,73.53
2000-01-25 17:45:00,23.14,68.69,80.70,73.53
2000-01-26 02:44:00,0.27,67.82,310.32,62.00
2000-01-26 05:06:00,0.10,65.82,282.26,55.28
2000-01-26 21:16:00,2.50,68.69,80.70,73.53
2000-01-26 23:43:00,0.72,62.02,10.99,64.94
2000-01-27 06:58:00,0.30,71.27,265.95,61.11
2000-01-27 10:15:00,23.40,66.46,218.84,64.78
2000-01-27 18:02:00,3.15,65.13,147.89,70.62
2000-01-27 18:26:00,3.53,65.13,147.89,70.62
2000-01-27 20:15:00,4.25,66.06,128.92,71.59
2000-01-27 21:26:00,23.88,64.20,35.02,67.97
2000-01-27 22:04:00,23.87,63.42,24.08,66.90
2000-01-27 22:42:00,23.72,62.02,10.99,64.94
2000-01-27 23:06:00,0.12,62.02,10.99,64.94
2000-01-27 23:59:00,0.33,70.22,351.30,70.90
2000-01-28 00:42:00,1.70,62.02,10.99,64.94
2000-01-28 01:14:00,1.20,60.53,352.98,62.05
2000-01-28 04:05:00,3.57,64.85,338.30,64.18
2000-01-28 04:37:00,21.79,69.07,265.91,58.76
2000-01-28 05:29:00,22.87,72.99,267.89,62.82
2000-01-28 07:07:00,2.27,65.82,282.26,55.28
2000-01-28 07:27:00,22.19,67.50,238.77,61.76
2000-01-28 07:54:00,1.25,66.77,265.36,56.38
2000-01-28 08:31:00,1.84,66.77,265.36,56.38
2000-01-28 09:20:00,0.84,67.67,248.07,60.03
2000-01-28 10:32:00,3.80,66.77,265.36,56.38
2000-01-28 11:06:00,2.79,64.53,248.79,56.66
2000-01-28 11:26:00,0.64,66.46,218.84,64.78
2000-01-28 11:46:00,1.00,66.46,218.84,64.78
2000-01-28 12:38:00,1.93,66.46,218.84,64.78
2000-01-28 13:00:00,2.31,66.46,218.84,64.78
2000-01-28 15:39:00,4.86,66.46,218.84,64.78
2000-01-28 16:40:00,1.93,65.13,147.89,70.62
2000-01-28 17:00:00,19.73,73.13,25.01,76.51
2000-01-28 17:29:00,19.69,71.50,19.20,74.50
2000-01-28 21:24:00,23.14,65.83,20.77,69.06
2000-01-28 21:44:00,23.63,67.30,22.22,70.54
2000-01-28 22:04:00,22.44,70.22,351.30,70.90
2000-01-29 01:45:00,18.23,77.94,264.15,68.63
2000-01-29 03:41:00,5.88,71.50,19.20,74.50
2000-01-29 04:25:00,19.46,69.53,245.52,62.48
2000-01-29 04:45:00,21.59,74.04,263.99,64.32
2000-01-29 06:43:00,4.82,66.08,314.56,61.16
2000-01-29 07:03:00,22.61,67.67,248.07,60.03
2000-01-29 07:59:00,19.95,70.28,203.38,71.32
2000-01-29 10:19:00,1.96,64.53,248.79,56.66
2000-01-29 10:45:00,23.90,66.46,218.84,64.78
2000-01-29 11:57:00,4.36,67.38,256.32,58.22
2000-01-29 12:29:00,4.11,67.67,248.07,60.03
2000-01-29 13:27:00,2.06,66.68,208.45,66.90
2000-01-29 14:32:00,7.95,66.77,265.36,56.38
2000-01-29 15:42:00,13.57,75.72,306.47,69.25
2000-01-29 16:05:00,1.41,65.13,147.89,70.62
2000-01-29 16:34:00,19.35,73.13,25.01,76.51
